cluster,gene,score,avg_log2FC,p_val,p_val_adj,pct.1,pct.2
1,LVRN,23.55495,2.206,1.1169694036335681e-122,4.072630012705652e-119,0.761,0.388
1,LINC02291,16.424858,2.119,1.269801156740303e-60,1.0454559652736371e-57,0.513,0.208
1,ENSG00000250407,3.0259993,2.082,0.0024781282519164265,0.07004348546363562,0.087,0.025
1,ADAMTS6,25.186705,2.019,5.602330100982727e-140,4.766275705579404e-136,0.856,0.567
1,ENSG00000288903,7.015878,2.015,2.2850901891343445e-12,2.4402659789655176e-10,0.206,0.065
1,SYT16,5.5279284,1.936,3.2403427470287326e-08,2.329669519222939e-06,0.165,0.053
1,SLC26A7,5.960952,1.909,2.507728359319387e-09,2.105419437990418e-07,0.184,0.064
1,POSTN,11.453168,1.844,2.267057162718179e-30,7.819202697845417e-28,0.376,0.154
1,LINC01605,7.7025948,1.832,1.3333072863045081e-14,1.6763547718398994e-12,0.241,0.086
1,COASY,8.711479,1.821,2.999358873821337e-18,5.103509102436132e-16,0.281,0.11
1,LINC02615,16.927977,1.766,2.7983339014336608e-64,2.8568750466516527e-61,0.606,0.32
1,MICU3,19.358517,1.73,1.727897244886275e-83,2.20505606906162e-80,0.73,0.421
1,RHOBTB1,24.303461,1.702,1.8019462623643974e-130,9.198214890865303e-127,0.889,0.673
1,NECTIN3-AS1,5.9532566,1.693,2.6285838556519093e-09,2.1996506802558583e-07,0.192,0.072
1,ENSG00000251584,8.131596,1.686,4.2367563012833915e-16,6.286902969631162e-14,0.27,0.108
1,ADGRG6,20.495092,1.681,2.3813361822377087e-93,4.675295644557927e-90,0.782,0.513
1,NIM1K,3.6016269,1.679,0.0003162321327233609,0.011497425532048917,0.115,0.042
1,ENSG00000273734,4.015949,1.656,5.9207089591154195e-05,0.002618964553960188,0.131,0.05
1,SPTLC3,22.743748,1.654,1.6547545209459277e-114,5.279287454762864e-111,0.868,0.618
1,ENSG00000286072,7.7377005,1.643,1.0123086671801162e-14,1.298349452886337e-12,0.263,0.109
1,ENSG00000266929,11.516279,1.63,1.0922623112027873e-30,3.9264522491308083e-28,0.416,0.194
1,LINC00882,15.326525,1.624,5.084730242051643e-53,3.327629999176515e-50,0.608,0.353
1,ENSG00000290598,5.1701536,1.595,2.3390177595150536e-07,1.4962092801028248e-05,0.172,0.068
1,BCL6,7.5782957,1.591,3.501235583994101e-14,4.275695493314902e-12,0.264,0.114
1,MIR181A2HG,5.6077943,1.558,2.049216693159208e-08,1.5337876146481663e-06,0.191,0.077
1,CSGALNACT1,18.574423,1.535,5.17591102193318e-77,5.743685957078284e-74,0.796,0.551
1,PHYHIPL,15.299918,1.523,7.655265951198538e-53,4.884633821811007e-50,0.625,0.358
1,FAM107B,16.761927,1.517,4.633642938785557e-63,4.0780851285042676e-60,0.688,0.42
1,FNDC3A,24.918262,1.51,4.717341991464685e-137,3.010017991203829e-133,0.96,0.787
1,DYSF,16.77193,1.507,3.9158055551270977e-63,3.569396613696747e-60,0.692,0.424
1,ENSG00000285424,7.168521,1.507,7.581244382437047e-13,8.486671068988629e-11,0.264,0.125
1,THSD4,15.112473,1.49,1.3401428473482133e-51,8.143920450682964e-49,0.627,0.376
1,SESN3,9.138894,1.486,6.309415839225226e-20,1.2292764920957669e-17,0.351,0.177
1,LINC00474,12.206249,1.484,2.878576608800883e-34,1.18499856107137e-31,0.488,0.264
1,ENSG00000226266,3.7343903,1.482,0.00018817045708722095,0.007200411658526447,0.131,0.056
1,BAZ2B,18.835892,1.462,3.8360906588548826e-79,4.6623115183787225e-76,0.793,0.553
1,ENSG00000230490,13.552516,1.438,7.656045988796906e-42,3.831475721020851e-39,0.569,0.332
1,ENSG00000287326,4.924727,1.434,8.447825479104104e-07,4.97953463517723e-05,0.173,0.073
1,ENSG00000249258,5.0843534,1.41,3.6888074930361067e-07,2.2907404779747094e-05,0.181,0.078
1,ENSG00000282943,10.093936,1.405,5.8764868933345254e-24,1.42843404741502e-21,0.425,0.245
1,IGSF5,6.67621,1.402,2.452003413059452e-11,2.463877287854976e-09,0.243,0.106
1,FAM156A,4.7401032,1.392,2.136094705784077e-06,0.00011877896552445971,0.173,0.077
1,DAPK1,19.869202,1.365,7.5188345014769e-88,1.1993950811324682e-84,0.897,0.722
1,FAM13A,20.199846,1.351,9.820294979914538e-91,1.7903099198025626e-87,0.899,0.712
1,ENSG00000198211,3.0660605,1.342,0.002168994600126862,0.06283683221230181,0.109,0.046
1,SWT1,7.565541,1.337,3.8625496777299586e-14,4.694469305938178e-12,0.296,0.144
1,NCF4-AS1,3.5008912,1.332,0.00046370526455865777,0.016124181835600302,0.126,0.054
10,CPS1,4.230001,6.854,2.3369011287079574e-05,0.010109275848815796,0.625,0.021
10,SLC1A2,4.656566,6.776,3.2152685272877255e-06,0.002394728905645791,0.688,0.018
10,ADCY5,4.2260585,6.62,2.3782037699888587e-05,0.010116482470237607,0.625,0.017
10,FAR2,6.2727985,6.22,3.5461542341262004e-10,1.8101698903520602e-06,0.938,0.104
10,GREM2,5.4131794,5.681,6.191547077983472e-08,0.00013168904672614345,0.812,0.084
10,ERVFRD-1,4.5518346,5.566,5.318009132650945e-06,0.003231703502205954,0.688,0.036
10,SH3BP4,4.924597,5.347,8.453453862785715e-07,0.0008989895955828325,0.75,0.066
10,IGSF5,6.4689546,5.05,9.868330288909589e-11,8.395646465461314e-07,1.0,0.129
10,SLC22A11,6.093482,5.038,1.1048080929062734e-09,4.028288136463831e-06,0.938,0.134
10,MTSS1,6.325945,4.836,2.516879279635477e-10,1.605957746353407e-06,1.0,0.223
10,BLNK,3.6414514,4.663,0.0002711053114441846,0.07219239485026428,0.562,0.038
10,SLC13A4,5.153774,4.504,2.552959527242771e-07,0.00038328932949304264,0.812,0.144
10,SLC52A1,3.589373,4.433,0.00033147406139333346,0.08376447989051534,0.562,0.057
10,GRAMD1C,4.2994113,4.22,1.7125230591574806e-05,0.008246929441297431,0.688,0.066
10,PIK3C2A,6.172092,4.129,6.739220562385605e-10,2.86675210689613e-06,0.938,0.301
10,GNA12,4.8799934,4.116,1.060894071086957e-06,0.0010028592361612,0.812,0.246
10,TACC2,6.70996,4.053,1.94677665232131e-11,4.968758049719679e-07,1.0,0.825
10,STON2,4.1574693,3.953,3.217922474139179e-05,0.012444096258705193,0.688,0.118
10,ATG9B,5.294894,3.94,1.1908530295965342e-07,0.00021710101338851676,0.875,0.269
10,TBX3-AS1,3.834568,3.921,0.00012578516981876303,0.03821922487243201,0.625,0.089
10,CPM,4.9014325,3.818,9.514033195977535e-07,0.0009713066770437384,0.812,0.272
10,ERVV-1,5.328737,3.767,9.88981439097329e-08,0.00019416748669293175,0.938,0.224
10,ENSG00000289084,4.9534287,3.767,7.291711848988342e-07,0.0008433242603909429,0.875,0.372
10,NEDD4L,4.274933,3.738,1.9119477751982724e-05,0.008872480557524638,0.75,0.207
10,LCMT1-AS2,6.0088754,3.647,1.868146957603105e-09,5.84423518205798e-06,1.0,0.459
10,KMO,5.0406637,3.616,4.639199556357506e-07,0.0006020232470081731,0.875,0.243
10,APMAP,4.0742593,3.608,4.616102623824648e-05,0.016363442676093957,0.688,0.13
10,FAM214A,4.0204563,3.599,5.8085577202376055e-05,0.01976690915914992,0.688,0.146
10,ABTB2,4.4102216,3.583,1.032649779860306e-05,0.0056077277300797,0.75,0.197
10,FGD6,4.594795,3.55,4.331744588074441e-06,0.002988084246524972,0.812,0.166
10,AK3,4.33309,3.486,1.470311197604814e-05,0.007358186803228955,0.75,0.17
10,ENSG00000236283,3.6153302,3.468,0.0002999651072821917,0.07812254523636102,0.625,0.118
10,EIF2AK1,4.3260255,3.463,1.5182383263830498e-05,0.007451922462360496,0.75,0.158
10,ATG2B,3.669544,3.463,0.00024298344541890315,0.06597517529177303,0.625,0.09
10,CNNM2,4.5818167,3.416,4.609537868693196e-06,0.003038656382432273,0.812,0.267
10,DYSF,5.99294,3.415,2.0608124686957575e-09,5.84423518205798e-06,1.0,0.471
10,EPB41L3,4.5766416,3.366,4.724995553040979e-06,0.003038656382432273,0.812,0.388
10,PBX1,4.735012,3.358,2.1904195865891804e-06,0.001863535970283855,0.875,0.344
10,SAMD8,3.589866,3.336,0.0003308479723997206,0.08376447989051534,0.625,0.123
10,RIN3,4.2139835,3.315,2.5090573391493695e-05,0.010498142699526125,0.75,0.189
10,SLK,4.209712,3.297,2.556964172921704e-05,0.01052603170733559,0.75,0.143
10,SLC40A1,3.8532143,3.291,0.00011657726794707113,0.03598078907653422,0.688,0.177
10,ARHGAP24,4.945379,3.237,7.599599572539155e-07,0.0008433242603909429,0.938,0.372
10,BRAF,4.6522126,3.196,3.2839208438507496e-06,0.002394728905645791,0.812,0.411
10,ATP10D,5.080503,3.174,3.7643721694127295e-07,0.0005337670604440061,0.875,0.425
10,VEZT,4.481685,3.151,7.405591430804066e-06,0.004200286890853604,0.812,0.237
10,WDR26,4.3884535,3.069,1.1415943185448209e-05,0.005995905209054584,0.812,0.234
10,CSF3R,6.52169,3.037,6.95196436454496e-11,8.395646465461314e-07,1.0,0.667
10,APP,4.7526727,3.03,2.0074510638937323e-06,0.0017667646035779217,0.875,0.379
10,KCNN4,4.257519,3.01,2.067082518027218e-05,0.00925581528203661,0.812,0.184
11,ENSG00000284931,6.4634514,11.124,1.0234154003348801e-10,5.224126252549429e-07,1.0,0.047
11,HBG2,6.470475,10.782,9.769532456635685e-11,5.224126252549429e-07,1.0,0.137
11,HBG1,6.4702992,10.769,9.78089259467327e-11,5.224126252549429e-07,1.0,0.081
11,HBA1,6.469246,10.506,9.849325121721672e-11,5.224126252549429e-07,1.0,0.121
11,HBA2,6.470826,10.364,9.74685086571118e-11,5.224126252549429e-07,1.0,0.241
11,ALAS2,4.1527176,10.272,3.285498031941705e-05,0.09317307363249792,0.643,0.003
11,HBB,5.986976,10.012,2.1377826575259205e-09,9.093771128005677e-06,0.929,0.045
2,CHODL,22.258396,1.93,9.35341498517531e-110,1.1936360533331472e-105,0.873,0.552
2,ENSG00000228714,3.8870988,1.881,0.00010144945784996566,0.004777296148901612,0.126,0.042
2,ACOXL,15.13296,1.873,9.817840858867321e-52,9.280768601513726e-49,0.553,0.25
2,ENSG00000271717,8.687604,1.767,3.701642694382827e-18,9.08432947007047e-16,0.307,0.124
2,ADGRL3,14.277316,1.761,3.0304995713692136e-46,2.3438618351532256e-43,0.556,0.265
2,CTDSP1,14.225023,1.614,6.408318174122957e-46,4.810573669357066e-43,0.582,0.304
2,EXPH5,22.333866,1.56,1.7327159340142933e-110,4.422410878384681e-106,0.949,0.735
2,DEPDC1B,19.03773,1.536,8.305162609974058e-81,2.119726652943679e-77,0.883,0.613
2,THSD7A,18.678892,1.476,7.352882338245725e-78,1.5638967993253801e-74,0.872,0.641
2,PLCL2,18.415276,1.365,9.908508591351493e-76,1.9453451136697244e-72,0.974,0.775
2,SCIN,17.8575,1.34,2.527064071392381e-71,4.299883752943182e-68,0.871,0.65
2,LINC01949,21.921265,1.328,1.6287194006824522e-106,1.385660175453941e-102,0.995,0.887
2,PLCB1,15.621415,1.309,5.2037967607015714e-55,5.534021030141092e-52,0.802,0.563
2,GRAMD2B,15.9304085,1.303,3.8980324879580656e-57,4.5216745762678604e-54,0.835,0.597
2,IGF2BP2,13.228178,1.292,6.033182929331712e-40,3.6663078072698403e-37,0.677,0.435
2,BMP1,14.431547,1.264,3.2765000214163693e-47,2.6976164531164516e-44,0.765,0.523
2,ENSG00000244676,7.8720646,1.264,3.4883660154064766e-15,6.694253068512744e-13,0.352,0.185
2,ENSG00000261632,16.582733,1.259,9.290517095967216e-62,1.248009830738796e-58,0.891,0.703
2,NHSL1,17.962965,1.257,3.7996120747476853e-72,6.926964213127513e-69,0.92,0.721
2,LAMA3,4.3028064,1.255,1.686481238197108e-05,0.0009418831650438686,0.181,0.089
2,GULP1,21.166296,1.254,1.9531918225716505e-99,1.2462828721874058e-95,0.982,0.876
2,GDPD5,12.160628,1.25,5.03697912633294e-34,2.5207611419881495e-31,0.625,0.388
2,CERS4,6.059396,1.234,1.3663385609743442e-09,1.441035499659016e-07,0.269,0.142
2,RYBP,16.564556,1.224,1.2570481083847625e-61,1.6041819435152145e-58,0.889,0.688
2,ARHGAP42,13.4878,1.214,1.8452651933537007e-41,1.207607782819654e-38,0.775,0.541
2,ENTPD1,9.825389,1.2,8.753514852870617e-23,2.5679995355151352e-20,0.49,0.299
2,OSMR-DT,7.482404,1.173,7.297511582248753e-14,1.2334727689651321e-11,0.354,0.197
2,LINC01119,4.2289824,1.169,2.3475043072341095e-05,0.001256087053113966,0.189,0.099
2,KYNU,9.546279,1.168,1.3443801753471645e-21,3.81251280170952e-19,0.493,0.299
2,ENSG00000290461,3.3407702,1.167,0.0008354633805294796,0.030593302526906608,0.141,0.069
2,PDE4D,11.101518,1.153,1.2333220842890553e-28,4.8427814703553166e-26,0.668,0.492
2,FGD4,12.888881,1.137,5.199284460741995e-38,3.0159394838981347e-35,0.741,0.52
2,PRKCE,12.084936,1.137,1.2686897624989197e-33,6.227070924665371e-31,0.693,0.477
2,MYO9A,13.517633,1.136,1.230718190374295e-41,8.26621588761135e-39,0.765,0.56
2,AFF1,20.470636,1.13,3.9344749608147605e-93,2.0083920884975025e-89,1.0,0.945
2,ARHGAP26,14.007722,1.128,1.3981894081540058e-44,1.0195996646947054e-41,0.869,0.662
2,DAPK1,14.296087,1.119,2.3146148691601674e-46,1.8461223532992173e-43,0.907,0.725
2,SLC27A6,6.445777,1.118,1.1500980038541173e-10,1.3846203468098414e-08,0.316,0.184
2,ENSG00000287127,7.917539,1.113,2.4225734332106994e-15,4.684192555745203e-13,0.401,0.237
2,ASXL3,4.001287,1.107,6.299889904262019e-05,0.0030744185473514244,0.187,0.102
2,PSG8,12.342366,1.105,5.355811674018905e-35,2.78972206848948e-32,0.691,0.498
2,LIMCH1,12.823249,1.1,1.2150106288198445e-37,6.891270284304198e-35,0.828,0.608
2,AUTS2,14.986661,1.095,8.975339432865231e-51,7.89922718431101e-48,0.892,0.714
2,C21orf91-OT1,3.0036628,1.085,0.0026675081129830616,0.08432260380999894,0.135,0.071
2,NEBL,12.404695,1.082,2.464496460001531e-35,1.310444648929564e-32,0.753,0.548
2,C4orf19,11.835524,1.082,2.557421533990697e-32,1.1867830874917192e-29,0.69,0.488
2,PAM,12.48624,1.077,8.874954953709639e-36,4.8194781975219386e-33,0.759,0.56
2,RASAL2,15.927636,1.076,4.074697929481675e-57,4.5216745762678604e-54,0.927,0.767
2,MORN3,4.026332,1.064,5.6653651631738174e-05,0.0027968494208836622,0.19,0.104
2,BET1,5.231866,1.059,1.6780752382579027e-07,1.3815972356792403e-05,0.254,0.142
3,DUXAP8,5.6329455,5.247,1.7715748364668374e-08,3.0366624950398314e-07,0.127,0.003
3,ENSG00000227479,5.4740486,4.527,4.398687051010927e-08,7.192036489618954e-07,0.126,0.006
3,MIR205HG,19.66269,4.319,4.502217583400781e-86,9.575841615094844e-84,0.468,0.036
3,ZNRF3,34.449894,4.219,4.5193895414514546e-260,1.1534837926646547e-256,0.85,0.167
3,TBL1X,36.463684,4.203,4.175712685581731e-291,1.776278581235042e-287,0.892,0.234
3,ISL1,5.4100227,4.2,6.301666792019307e-08,1.008385213371215e-06,0.126,0.007
3,MSI2,38.594955,4.136,0.0,0.0,0.935,0.292
3,UBASH3B,35.171993,4.117,5.360981866071466e-271,1.67308177499545e-267,0.874,0.206
3,LRP5,19.790066,4.006,3.6256761024488493e-87,7.97742510024155e-85,0.482,0.048
3,ENSG00000290008,8.821105,3.998,1.1333520979421321e-18,4.1382754786519365e-17,0.209,0.015
3,DGKD,24.988321,3.919,8.189347797593351e-138,5.097968874096954e-135,0.625,0.084
3,RHPN2,7.2854047,3.849,3.2070637967372165e-13,8.193582510923322e-12,0.174,0.013
3,ENSG00000284837,12.297898,3.837,9.296190203753162e-35,5.801140894141613e-33,0.297,0.027
3,RIPK4,2.6983044,3.829,0.006969366709685107,0.048975535939232644,0.064,0.004
3,SLAIN1,3.4776285,3.818,0.0005058703578074841,0.004681410131370709,0.082,0.005
3,KANK1,38.1618,3.794,0.0,0.0,0.936,0.398
3,SLC13A3,28.871853,3.763,2.6946698272694926e-183,3.6197925263894345e-180,0.741,0.14
3,VSTM5,5.4578767,3.759,4.818619466636886e-08,7.803092531184961e-07,0.13,0.009
3,L1TD1,15.942572,3.755,3.2087159535540846e-57,3.499831507801748e-55,0.391,0.039
3,KIF26B,28.768333,3.732,5.342524215590314e-182,6.817862277725579e-179,0.746,0.195
3,FAM118A,11.051741,3.732,2.150052350559453e-28,1.138501787205994e-26,0.268,0.025
3,ENSG00000229151,3.0444615,3.718,0.0023309735360658498,0.01859169923781521,0.072,0.005
3,MPP7,33.651154,3.715,2.999047881366062e-248,6.378724923008833e-245,0.863,0.237
3,DPF3,8.160511,3.713,3.336098000119227e-16,1.04732139307556e-14,0.197,0.017
3,RILPL1,23.751299,3.7,1.0653143039520875e-124,4.855360174958774e-122,0.603,0.085
3,TENM3,41.293785,3.694,0.0,0.0,0.982,0.571
3,ENSG00000286058,3.6583126,3.681,0.0002538813898242373,0.0024874528646771626,0.087,0.006
3,DNMT1,24.459846,3.671,3.953897493090307e-132,2.2935301299123616e-129,0.625,0.096
3,ENSG00000256615,2.9533458,3.653,0.003143496287398734,0.024239110496458577,0.071,0.006
3,LRP2,24.935265,3.65,3.0856745144451195e-137,1.875135015051971e-134,0.639,0.1
3,LINC02750,2.6129663,3.648,0.008976016304300392,0.06107277581654866,0.062,0.005
3,ENSG00000285471,6.6630435,3.631,2.682144607509587e-11,5.891254459334525e-10,0.16,0.013
3,ALDH7A1,22.652197,3.629,1.327278710461927e-113,5.132747655624207e-111,0.576,0.079
3,MYO7A,8.628742,3.593,6.2030441495965816e-18,2.1365761920398592e-16,0.209,0.019
3,ENSG00000242029,12.77409,3.591,2.288082698973976e-37,1.5449400721140953e-35,0.314,0.033
3,SEPTIN9,28.52063,3.581,6.500809900395885e-179,7.213920482078441e-176,0.749,0.169
3,LINC01205,20.292412,3.556,1.5004991887597583e-91,3.5460408143254915e-89,0.516,0.074
3,ADAMTS19,25.049202,3.551,1.7811184154364993e-138,1.1364871329296442e-135,0.653,0.117
3,SSBP3,21.204641,3.532,8.652799232194104e-100,2.453837720036557e-97,0.543,0.081
3,KANK4,18.00137,3.53,1.9005860197607992e-72,3.050858929707854e-70,0.455,0.06
3,CDCA7,4.293938,3.524,1.755315173719984e-05,0.00020513236803505107,0.103,0.008
3,PLEKHG4B,5.4659624,3.519,4.604014103419273e-08,7.479837807865697e-07,0.132,0.012
3,PPM1H,26.433943,3.515,5.5821423305981164e-154,4.7491006234618574e-151,0.696,0.135
3,SMYD2,15.158057,3.512,6.702309547133123e-52,6.579347945056873e-50,0.378,0.042
3,FRAS1,24.368769,3.499,3.667261130857123e-131,2.0347718661492681e-128,0.639,0.119
3,GNA12,27.682547,3.497,1.1328394454339222e-168,1.112056198685e-165,0.736,0.158
3,ARL15,38.709293,3.465,0.0,0.0,0.973,0.53
3,SEPTIN9-DT,2.6559036,3.463,0.007909621121730917,0.05470928452301848,0.064,0.005
3,SHROOM2,15.563772,3.458,1.2830899075423862e-54,1.3312318581383872e-52,0.391,0.048
3,BMP7,17.31713,3.448,3.493544951683247e-67,4.7682218075835035e-65,0.439,0.059
4,MT-ND3,31.020384,4.239,2.8630856068964227e-211,2.4358177981605797e-207,0.929,0.234
4,MT-CYB,30.209135,3.931,1.796943720619547e-200,6.551913511624672e-197,0.929,0.254
4,MT-ATP6,32.367428,3.882,7.889383442193731e-230,2.013607335951106e-225,0.974,0.393
4,MT-CO2,30.56308,3.881,3.7900519052436572e-205,1.9346698955506772e-201,0.936,0.315
4,MT-ND4,31.11653,3.716,1.439451061760258e-212,1.8369554724653534e-208,0.963,0.361
4,MT-CO3,28.585606,3.714,1.0145167255348364e-179,3.236688798228204e-176,0.908,0.253
4,MT-CO1,30.526766,3.709,1.1504624954247973e-204,4.89387571178785e-201,0.951,0.337
4,MT-ND1,28.447504,3.672,5.232120986571379e-178,1.4837713771140145e-174,0.91,0.241
4,MT-ND2,30.66623,3.6,1.6059680184673414e-206,1.0247280433835488e-202,0.961,0.368
4,MT-ND4L,15.038712,3.328,4.094434887491112e-51,3.870454134571691e-48,0.462,0.059
4,MT-ND5,20.701712,2.972,3.342886705842878e-95,6.094321242373413e-92,0.714,0.177
4,MT-ATP8,10.809805,2.571,3.0932689886266363e-27,1.4098125785128151e-24,0.357,0.064
4,ENSG00000289901,10.272888,2.524,9.336726099525377e-25,3.7825596863204152e-22,0.336,0.057
4,ZBED1,4.823832,1.922,1.4082614171365481e-06,6.607179439260316e-05,0.161,0.03
4,LRRC32,2.9086149,1.88,0.003630337227901508,0.061321705537875706,0.097,0.019
4,EVA1B,12.531397,1.82,5.026958407873096e-36,3.2075764861036256e-33,0.54,0.178
4,LYPD3,3.8499744,1.77,0.0001181301316637484,0.0034378966367774808,0.138,0.035
4,QSOX1,12.21167,1.708,2.6930378282036165e-34,1.6764488899814855e-31,0.561,0.211
4,FURIN,13.349004,1.707,1.2004309275586825e-40,9.011352518847133e-38,0.654,0.265
4,SEMA3B,18.855783,1.704,2.6340537233042163e-79,3.7349418433274176e-76,0.931,0.641
4,GRN,14.310667,1.7,1.877035850071443e-46,1.5454060000443045e-43,0.723,0.342
4,TMEM115,3.1330175,1.653,0.0017301914529138686,0.03323452344089719,0.11,0.026
4,HYOU1,5.179572,1.649,2.2239520925061446e-07,1.2726889967944918e-05,0.189,0.047
4,MT-ND6,3.0336537,1.639,0.0024161157557092534,0.04376616212417833,0.108,0.027
4,CHPF,9.201911,1.632,3.5163978976001566e-20,1.108012636301837e-17,0.381,0.12
4,LAMP1,11.09865,1.619,1.27353531775203e-28,6.500888382997012e-26,0.503,0.182
4,JUND,12.761724,1.615,2.681983289305981e-37,1.801375249814646e-34,0.65,0.276
4,MMP11,13.11715,1.606,2.6262581357270905e-39,1.8116212540043926e-36,0.686,0.304
4,TP53I13,4.631628,1.576,3.6280176930252432e-06,0.00015458747175139113,0.17,0.043
4,ATXN7L3,4.1785436,1.569,2.933817314684641e-05,0.00100644918444484,0.155,0.041
4,RPLP1,10.340696,1.568,4.611746398801241e-25,1.8984774731710336e-22,0.48,0.182
4,ENSG00000260272,10.819157,1.562,2.7933676632777365e-27,1.2962749612697757e-24,0.505,0.19
4,PEA15,2.8564417,1.551,0.004284184718578357,0.06977999143093518,0.103,0.026
4,ENSG00000288931,5.4199247,1.541,5.962420607402875e-08,3.8044715290685886e-06,0.202,0.052
4,TMEM54,6.582769,1.538,4.617662932454609e-11,4.9728527858666245e-09,0.262,0.077
4,GH2,15.805448,1.537,2.8535722993237867e-56,3.166596773723522e-53,0.89,0.578
4,ALPP,16.717377,1.536,9.793681333270706e-63,1.2498206433453412e-59,0.921,0.629
4,SIGMAR1,3.9088805,1.512,9.272480440431328e-05,0.0027679709740482897,0.146,0.039
4,SDC4,4.9970636,1.506,5.820981116768474e-07,2.983311265929353e-05,0.191,0.053
4,GAA,9.289828,1.505,1.5453698449987044e-20,4.9927182979622696e-18,0.413,0.144
4,NDUFB7,2.8532848,1.504,0.004326981892456163,0.07038722679487486,0.107,0.03
4,ANKRD9,4.9979315,1.492,5.794852640791242e-07,2.9758958541431564e-05,0.194,0.057
4,RPS21,5.802253,1.49,6.542984885901623e-09,4.897261092166191e-07,0.23,0.069
4,ENG,10.733049,1.457,7.120707929146237e-27,3.133479801303438e-24,0.546,0.22
4,AOC1,7.3786516,1.453,1.5990084660550766e-13,2.4438019807858516e-11,0.314,0.104
4,BGN,10.075372,1.452,7.099151095441157e-24,2.745327778923404e-21,0.484,0.185
4,PLOD3,3.7535882,1.433,0.00017432114490760134,0.004873163835133307,0.144,0.042
4,GDF15,19.517277,1.432,7.830276552434958e-85,1.1756008732223378e-81,0.966,0.811
4,PCDH1,8.509268,1.426,1.750357150918438e-17,4.423204511177356e-15,0.374,0.126
4,NSG1,5.213761,1.425,1.850500125421727e-07,1.0758613827138664e-05,0.206,0.061
5,FCGR1BP,3.2673628,7.277,0.0010855443970550348,0.021417794947229358,0.123,0.001
5,F13A1,23.829405,6.985,1.6559641382208235e-125,2.113258634990504e-121,0.905,0.132
5,FGF13,19.827969,6.899,1.7079654181937015e-87,4.8436001520619825e-84,0.755,0.048
5,SIGLEC1,16.918268,6.848,3.299905100061927e-64,3.661890342125242e-61,0.64,0.016
5,SLC9A9,23.429573,6.649,2.1356074057846016e-121,1.816903593928013e-117,0.889,0.08
5,RTN1,10.968654,6.61,5.407152101426049e-28,9.718784724274441e-26,0.415,0.009
5,CD163,13.137856,6.507,1.9980975957326698e-39,6.144270474203004e-37,0.498,0.013
5,SCN9A,14.470145,6.502,1.870760965076359e-47,8.232315881317916e-45,0.549,0.014
5,CYTH4,12.922032,6.481,3.380918897655684e-38,9.695639665715283e-36,0.49,0.012
5,TRPM2,10.022414,6.479,1.214982501204222e-23,1.5741115928038253e-21,0.379,0.007
5,LINC01374,8.141393,6.436,3.907579994095371e-16,3.4038622590203466e-14,0.308,0.006
5,PIK3CG,3.1440415,6.347,0.00166631843229948,0.031079533966115507,0.119,0.002
5,STAB1,16.987244,6.321,1.0207556959652126e-64,1.1842158012781874e-61,0.648,0.025
5,GGTA1,12.678032,6.299,7.827278019198384e-37,2.125272520042557e-34,0.482,0.013
5,LINC01645,3.9736814,6.25,7.077019641309141e-05,0.001809887498047427,0.15,0.002
5,MS4A6A,9.786404,6.241,1.287952606729406e-22,1.5653530657883157e-20,0.372,0.008
