cluster,gene,score,avg_log2FC,p_val,p_val_adj,pct.1,pct.2
6,LINC02006,6.881738,5.97,5.912665631327953e-12,7.186141186113494e-10,0.281,0.009
6,COL5A1,10.653247,5.955,1.6838747816497624e-26,6.139648007435269e-24,0.434,0.015
6,PRKG1,19.877407,5.951,6.384850314217986e-88,5.432017818992855e-84,0.819,0.09
6,PRDM6,9.769466,5.938,1.5225126026606146e-22,4.415805586103053e-20,0.398,0.012
6,HAND2-AS1,5.6802254,5.918,1.3451720018087871e-08,1.1004110577617203e-06,0.231,0.006
6,MEG8,15.882091,5.83,8.432028351782151e-57,2.1521065962253585e-53,0.656,0.043
6,EBF1,15.003587,5.83,6.955712166938051e-51,1.0442978919809405e-47,0.62,0.037
6,EPHA3,8.19821,5.782,2.439936781985278e-16,4.354860593469248e-14,0.335,0.011
6,PCDH10,3.3457613,5.769,0.0008205702365056441,0.026713538451956065,0.136,0.003
6,ENSG00000232855,14.08459,5.766,4.723897206481483e-45,6.345685705317205e-42,0.584,0.046
6,SLIT3,10.808584,5.742,3.1346899527676154e-27,1.1765689950659978e-24,0.443,0.018
6,ENSG00000285751,3.3385468,5.713,0.0008421787329410301,0.027277827158444047,0.136,0.003
6,TARID,7.410518,5.709,1.2580695512551632e-13,1.735659954415434e-11,0.303,0.011
6,LINC02268,7.2090297,5.706,5.635194047211664e-13,7.490992586822047e-11,0.294,0.009
6,HYMAI,3.0066333,5.69,0.002641583053298926,0.07499568884243436,0.122,0.003
6,SLC16A10,11.85866,5.688,1.9405671632955257e-32,1.0767194719302543e-29,0.489,0.026
6,LMOD1,6.093731,5.678,1.1030900569808694e-09,1.0388991706392152e-07,0.249,0.008
6,TBX5,4.6700788,5.639,3.010845873421905e-06,0.00017544707586152346,0.19,0.005
7,ENSG00000285190,9.179627,5.391,4.325862796074554e-20,1.226766623824565e-16,0.444,0.024
7,MLIP,8.165727,5.377,3.1950640252728354e-16,7.41341991973078e-13,0.394,0.02
7,LINC01208,6.0757923,4.676,1.2337684322361161e-09,1.0858438515849101e-06,0.3,0.022
7,LINC01619,9.700049,4.557,3.013516750431563e-22,1.5382797604252955e-18,0.488,0.051
7,GPC5,7.5216975,4.423,5.406961176518348e-14,1.0615528469867524e-10,0.381,0.043
7,LINC02889,3.659261,4.296,0.0002529435337833222,0.04782131713149432,0.181,0.012
7,CD96,6.088567,4.291,1.1392598842813503e-09,1.038476072375461e-06,0.306,0.028
7,CCDC181,3.6411402,4.222,0.0002714332673355738,0.04943577340957314,0.181,0.013
7,GRB14,10.060808,4.109,8.231971798188549e-24,5.252615405129158e-20,0.519,0.068
7,ENSG00000283321,5.4303412,3.793,5.624642907453448e-08,3.588944023173359e-05,0.281,0.034
7,ENSG00000227240,4.807778,3.725,1.5261717442631762e-06,0.0007637741456633146,0.25,0.031
7,PPP1R1C,3.640666,3.388,0.00027193360331477935,0.04943577340957314,0.194,0.027
7,PDE4D,14.642628,3.281,1.5015022301216413e-48,1.9161420709697324e-44,0.881,0.509
7,DDR2,3.490879,3.14,0.00048143418216344675,0.07876695276511315,0.188,0.026
7,ENSG00000285558,3.538262,3.047,0.0004027701943336371,0.06718891287566942,0.194,0.031
7,ENSG00000261821,5.1585803,2.677,2.488291865452367e-07,0.00014716584131341248,0.312,0.088
7,ADGRL3,9.535987,2.477,1.4846619843918112e-21,6.3155046379387e-18,0.65,0.3
7,LINC01588,4.351358,2.399,1.3529695210380217e-05,0.004614213010129853,0.269,0.075
7,ENSG00000274213,4.029712,2.313,5.584519466350246e-05,0.01484725941038097,0.256,0.075
7,ENSG00000289130,3.7059066,2.229,0.00021063593299363543,0.04103863296027906,0.244,0.083
7,LYN,6.729514,1.874,1.702304676253102e-11,2.172396112600396e-08,0.512,0.248
7,TENT5A,9.371135,1.809,7.175702348159186e-21,2.6163635861723847e-17,0.762,0.522
7,ATG9B,6.1410594,1.712,8.197295132355309e-10,8.046906294734791e-07,0.5,0.264
7,ARRDC3-AS1,3.772148,1.655,0.00016184825505889282,0.0347130505367069,0.294,0.128
7,NEAT1,15.432282,1.651,9.929496696872264e-54,2.534305441942708e-49,1.0,0.98
7,TLE5,7.204924,1.49,5.807614360346113e-13,9.264233832444615e-10,0.644,0.456
7,ANKRD12,4.649536,1.474,3.3268232825565193e-06,0.001415175177344834,0.406,0.235
7,NECTIN3,8.444731,1.318,3.04748241077232e-17,7.778089357014192e-14,0.844,0.661
7,COBLL1,11.880614,1.288,1.4926595688568742e-32,1.2699050058644665e-28,1.0,0.942
7,BACE2,7.835336,1.267,4.675894420425041e-15,9.945237774375694e-12,0.756,0.613
7,RNF11,3.413628,1.261,0.0006410399171917856,0.096952667092302,0.325,0.195
7,SLC27A6,3.5576472,1.242,0.0003741915055068022,0.06366993196700076,0.35,0.2
7,PCBP2,3.8503733,1.184,0.00011793794000795504,0.027615871952504922,0.388,0.241
7,JUND,4.4531565,1.177,8.461711532576083e-06,0.0031760038742049907,0.475,0.309
